,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_learning_rate,params_vf_coef,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,state
0,0,0.0513531,2021-03-01 15:41:38,2021-03-01 19:55:56,0 days 04:14:18,0.2,0.0,0.0003,0.5,0.051353052234109506,,,"{'learning_rate': 0.0003, 'policy_kwargs': {'net_arch': [400, {'pi': [400, 400, 400], 'vf': [400, 400]}]}, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'use_sde': False, 'sde_sample_freq': -1}",PRUNED
1,1,0.259534,2021-03-01 15:41:40,2021-03-01 19:50:38,0 days 04:08:58,0.3,0.006,0.00011,0.6,0.25953429830081814,0.25953429830081814,,,COMPLETE
2,2,0.0198867,2021-03-01 15:41:40,2021-03-01 19:55:59,0 days 04:14:19,0.4,0.008,0.00271,0.5,0.019886721208307145,,,,PRUNED
3,3,0.164003,2021-03-01 15:41:40,2021-03-01 19:54:37,0 days 04:12:57,0.2,0.003,0.00011,1.0,0.16400251730648213,,,,PRUNED
4,4,0.00629327,2021-03-01 15:41:40,2021-03-01 19:58:40,0 days 04:17:00,0.3,0.01,0.00131,0.9,0.006293266205160464,,,,PRUNED
5,5,0.318313,2021-03-01 15:41:40,2021-03-01 19:52:30,0 days 04:10:50,0.3,0.001,0.00111,0.5,0.31831340465701696,0.31831340465701696,0.31831340465701696,,COMPLETE
6,6,0.0193833,2021-03-01 15:41:40,2021-03-01 19:57:27,0 days 04:15:47,0.4,0.005,0.00281,0.5,0.01938325991189429,,,,PRUNED
7,7,0.273757,2021-03-01 15:41:40,2021-03-01 19:44:42,0 days 04:03:02,0.1,0.001,0.00291,0.7,0.2737570799244808,0.2737570799244808,0.2737570799244808,,COMPLETE
8,8,0.318188,2021-03-01 15:41:40,2021-03-01 19:43:54,0 days 04:02:14,0.2,0.008,0.00241,0.6,,,,,COMPLETE
9,9,0.262429,2021-03-01 15:41:40,2021-03-01 19:49:26,0 days 04:07:46,0.1,0.002,0.00161,0.5,0.26242920075519194,0.26242920075519194,0.26242920075519194,,COMPLETE
